1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Aventura,Redes Sociales,,Fotos reales,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Información verificada,"No confiar en las recomendaciones, Falta de valor real",Que este actualizado
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,3 veces,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Seguridad,Información desactualizada,4.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que tenga aventuras y leyendas
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Precio,3.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,"Falta de valor real, Exceso de publicidad, Información falsa o incompleta",Que tenga buenas recomendaciones 
"Ciudad de México, México",,40–49 años,Hombre,Una vez al año,3 veces,Cultura / Historia,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Precio,5.0,5.0,Horarios actualizados,Información desactualizada,4.0,Recomendaciones locales confiables,"Mala experiencia de uso, Información falsa o incompleta, Exceso de publicidad",Que ofrezca los nejores precios
"Ciudad de México, México",,18–29 años,Mujer,Muy rara vez,3 veces,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Horarios actualizados,Demasiadas opciones sin guía,4.0,Información verificada,Información falsa o incompleta,Que contenga fotos y las atracciones como también horarios 
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,Redes Sociales,,Fotos reales,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Que tenga buenas recomendaciones 
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,2 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Recomendación local,4.0,4.0,Información offline,Información desactualizada,3.0,Información verificada,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Que tenga las recomendaciones locales y los precios
"Estado de México, México",,18–29 años,Mujer,Esporádicamente,3 veces,Naturaleza,Redes Sociales,Me generan seguridad para tomar decisiones,Fotos reales,4.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Información verificada,"Exceso de publicidad, Información falsa o incompleta, No confiar en las recomendaciones",Que contenga horarios y los eventos que habra
"Estado de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,Naturaleza,Otro,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Horarios actualizados,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Mala experiencia de uso, Exceso de publicidad, Falta de valor real",Que tenga fotos y comentarios y horarios actualizados 
"Hidalgo, México","Actopan, Hidalgo, México",40–49 años,Hombre,Esporádicamente,3 veces,Cultura / Historia,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Recomendación local,5.0,4.0,Seguridad,Demasiadas opciones sin guía,4.0,Comercios y servicios cercanos,"Mala experiencia de uso, Información falsa o incompleta, Falta de valor real",Que tenga buenas recomendaciones y precios 
"Estado de México, México",,60 años o más,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Poca visibilidad de comercios locales,5.0,Información verificada,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Que tenga fitos reales y buenas recomendaciones 
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Hombre,Varias veces al año,4 veces o más,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Horarios actualizados,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Que se actualice seguidamente
"Ciudad de México, México",,40–49 años,Mujer,Esporádicamente,3 veces,Naturaleza,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Horarios actualizados,Recomendaciones poco confiables,5.0,Rutas sugeridas,"Falta de valor real, Exceso de publicidad, Información falsa o incompleta",Que sirva
"Estado de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Información verificada,"Mala experiencia de uso, Exceso de publicidad",Que tenga fotos información actualizada 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",30–39 años,Mujer,Muy rara vez,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Su seguridad ante todo por la tranquilidad de uno 
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Seguridad,Poca visibilidad de comercios locales,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que sea clara 
"Hidalgo, México","Mineral de la Reforma, Hidalgo, México",18–29 años,Mujer,Esporádicamente,4 veces o más,Naturaleza,Redes Sociales,Me generan seguridad para tomar decisiones,Precio,3.0,3.0,Seguridad,Poca visibilidad de comercios locales,1.0,Otro: Precios,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que maneje información completa y de fiar 
"Hidalgo, México","Epazoyucan, Hidalgo, México",18–29 años,Hombre,Varias veces al año,4 veces o más,Aventura,Otro,La información suele ser clara y actualizada,Que se trate de una plataforma oficial,5.0,5.0,Información offline,Recomendaciones poco confiables,5.0,Información verificada,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Mayor oferta turística y mejor información en general 
"Hidalgo, México","Zapotlán de Juárez, Hidalgo, México",18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Google,La información suele ser clara y actualizada,Precio,5.0,5.0,Horarios actualizados,Falta de información en el momento exacto,5.0,Información verificada,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones","Ampliar el padrón turístico en general, y competitiva la oferta en varios giros turísticos "
"Estado de México, México",,40–49 años,Hombre,Muy rara vez,3 veces,Gastronomía,Otro,La información suele ser clara y actualizada,Precio,4.0,3.0,Seguridad,Falta de información en el momento exacto,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Claridad y confianza
"
"Estado de México, México",,40–49 años,Hombre,Esporádicamente,2 veces,Gastronomía,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Precio,4.0,3.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Hidalgo, México","Ajacuba, Hidalgo, México",40–49 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza 
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Precio,4.0,3.0,Seguridad,Demasiadas opciones sin guía,4.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad
"Ciudad de México, México",,18–29 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Recomendaciones cercanas,Demasiadas opciones sin guía,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Hidalgo, México","Tlahuelilpan, Hidalgo, México",30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Hidalgo, México","Francisco I. Madero, Hidalgo, México",30–39 años,Mujer,Muy rara vez,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Información verificada,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Seguridad
"Estado de México, México",,18–29 años,,Esporádicamente,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad 
"Hidalgo, México","Tepeji del Río de Ocampo, Hidalgo, México",30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza
"Ciudad de México, México",,18–29 años,Hombre,Esporádicamente,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,3.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Claridad
"Ciudad de México, México",,30–39 años,Mujer,Esporádicamente,3 veces,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,3.0,4.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad
"Hidalgo, México","Tlaxcoapan, Hidalgo, México",18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad
"Hidalgo, México","Tula de Allende, Hidalgo, México",60 años o más,Mujer,Varias veces al año,4 veces o más,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Cercanía / ubicación,3.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad
"Hidalgo, México","Tlahuelilpan, Hidalgo, México",30–39 años,Hombre,Esporádicamente,2 veces,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,3.0,4.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza
"Ciudad de México, México",,18–29 años,Hombre,Una vez al año,2 veces,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Cercanía / ubicación,,,Recomendaciones cercanas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,Información falsa o incompleta,Segura
"Hidalgo, México","Tula de Allende, Hidalgo, México",40–49 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,Otro,Me ayudan a ahorrar tiempo,Recomendación local,4.0,3.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Seguridad 
"Hidalgo, México","Tula de Allende, Hidalgo, México",50–59 años,Mujer,Muy rara vez,1 vez,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,3.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza
"Hidalgo, México","Tula de Allende, Hidalgo, México",60 años o más,Mujer,Muy rara vez,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,,Cercanía / ubicación,3.0,4.0,Mapas y rutas,Recomendaciones poco confiables,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Hidalgo, México","Tula de Allende, Hidalgo, México",40–49 años,Mujer,Muy rara vez,1 vez,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",30–39 años,,Varias veces al año,2 veces,Viaje Familiar,Google,Me ayudan a ahorrar tiempo,Recomendación local,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Confianza
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Hombre,Una vez al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad
"Oaxaca, México",,18–29 años,Mujer,Muy rara vez,4 veces o más,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Hidalgo, México","Chapantongo, Hidalgo, México",40–49 años,Hombre,Muy rara vez,1 vez,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Cercanía / ubicación,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Confianza
"Estado de México, México",,40–49 años,Mujer,Una vez al año,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Cercanía / ubicación,3.0,2.0,Eventos o actividades del día,Información desactualizada,3.0,Información verificada,Exceso de publicidad,Confiable  y seguridad 
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,Redes Sociales,La información suele ser clara y actualizada,Precio,3.0,3.0,,Recomendaciones poco confiables,3.0,Información verificada,Mala experiencia de uso,Segura
"Estado de México, México",,30–39 años,Mujer,Una vez al año,3 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Cercanía / ubicación,3.0,4.0,Seguridad,Recomendaciones poco confiables,3.0,Comercios y servicios cercanos,Mala experiencia de uso,Seguridad 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Cercanía / ubicación,3.0,2.0,Seguridad,Recomendaciones poco confiables,3.0,Información verificada,Exceso de publicidad,Confianza  de recomendación 
